0.86667,1
0.73333,1
0.6,1
0.46667,1
0.33333,1
0.2,1
0.066667,1
-0.066667,1
-0.2,1
-0.33333,1
-0.46667,1
-0.6,1
-0.73333,1
-0.86667,1
-1,1
-1,0.86667
-1,0.73333
-1,0.6
-1,0.46667
1,1
-1,0.33333
0.93866,0.93824
0.88799,0.88627
0.78929,0.77941
0.71403,0.69608
0.66642,0.64414
0.55126,0.51972
0.45512,0.42905
0.4203,0.39274
0.37716,0.33817
0.3086,0.25824
0.25465,0.21011
0.17535,0.15533
0.10394,0.099323
0.059398,0.054531
0.01968,0.010726
0.0053738,-0.0035508
0.00027872,-0.0085999
-0.0057951,-0.01452
-0.9975,0.33341
-0.98999,0.33364
-0.94245,0.33511
-0.89186,0.33522
-0.85216,0.33065
-0.74395,0.31226
-0.62176,0.27878
-0.5726,0.26487
-0.49817,0.2427
-0.38888,0.19925
-0.32131,0.15899
-0.23958,0.096996
-0.16181,0.041717
-0.10151,0.015549
-0.042068,-0.0027638
-0.021687,-0.0093151
-0.014432,-0.011666
-0.07078,0.47197
0.44343,0.89385
0.39721,0.77389
0.33043,0.66182
0.24661,0.57455
0.15872,0.52046
0.093698,0.49469
0.031792,0.4902
0.6393,0.73874
0.54771,0.84833
0.47302,0.68349
0.37222,0.55844
0.24755,0.47319
0.13666,0.46463
0.064983,0.46676
0.013048,0.46993
0.026197,0.45081
0.088505,0.43027
0.16648,0.40239
0.2677,0.35397
0.38447,0.4379
0.33453,0.91649
0.31443,0.82436
0.27423,0.7315
0.21927,0.64903
0.15144,0.58435
0.076342,0.53139
0.013462,0.50649
0.22212,0.92778
0.22718,0.85295
0.21004,0.7775
0.17401,0.70243
0.13893,0.63951
0.068788,0.59114
0.016495,0.53238
0.10568,0.93293
0.13203,0.86429
0.14991,0.80731
0.12045,0.74642
0.081126,0.67061
0.022523,0.61882
-0.0053362,0.56092
-0.01414,0.93614
0.027384,0.86937
0.059885,0.79538
0.04773,0.72532
-0.0045448,0.67064
-0.02742,0.60077
-0.041623,0.55044
-0.1388,0.93846
